id,group,verbal_wm,visual_wm,updating,inhibition,proc_speed,education,cog_reserve,task_perf,everyday_func
1,1,0.823,1.062,-0.441,-0.006,-0.127,14,-1.294,50.04,73.02
2,1,-0.990,-0.939,-1.988,-1.056,0.009,16,0.041,37.94,71.35
3,1,0.197,-0.142,0.246,-0.724,0.312,18,0.447,56.30,66.82
4,1,-0.627,-1.015,-1.292,-0.960,-1.216,19,-1.014,29.86,77.69
5,1,-1.644,-2.418,-1.090,-0.343,-0.709,17,0.190,28.26,64.68
6,1,-1.095,-1.135,-1.477,-1.265,-0.409,16,-0.232,28.78,56.13
7,1,1.331,1.517,1.115,0.933,1.088,19,1.060,77.63,81.37
8,1,-0.255,0.935,0.862,0.444,1.104,14,-0.674,61.03,80.50
9,1,0.066,1.026,-0.843,0.422,-0.172,12,1.701,68.58,90.75
10,1,0.251,1.038,1.143,0.339,1.726,16,0.634,63.33,80.26
11,1,0.139,-1.028,-0.044,-0.305,0.104,15,1.311,40.08,86.62
12,1,0.360,-0.044,-0.289,-1.137,-0.133,12,0.431,51.14,71.39
13,1,-0.150,0.893,0.131,-1.035,-0.257,16,0.990,61.99,80.31
14,1,1.444,1.330,0.519,0.537,1.296,17,0.359,69.45,100.17
15,1,-1.803,-1.237,-1.997,-1.704,-0.118,20,-0.372,50.92,60.54
16,1,1.361,1.568,0.586,0.115,1.741,12,-0.456,61.79,79.95
17,1,2.048,1.045,0.412,1.050,1.616,12,1.382,80.72,75.60
18,1,-0.256,-0.838,-1.025,0.295,0.792,14,1.322,38.09,47.95
19,1,-0.527,-1.060,-0.496,-0.598,-1.308,19,-0.334,44.24,71.10
20,1,0.653,0.554,0.376,0.180,1.318,13,-0.168,52.75,79.35
21,1,-0.357,-0.522,0.219,-0.951,0.724,14,-0.054,36.86,59.06
22,1,-1.299,-1.932,-1.417,0.114,-1.448,17,-0.216,40.93,54.25
23,1,1.785,1.480,1.189,0.060,1.065,14,0.975,80.93,67.79
24,1,-0.246,-0.418,0.493,-0.006,-0.201,19,1.215,46.66,56.98
25,1,0.305,-0.228,0.004,-0.225,0.298,13,0.589,61.60,65.38
26,1,1.882,0.728,0.333,0.869,1.292,17,-0.521,56.25,64.11
27,1,1.333,1.492,0.734,1.172,1.597,15,0.320,65.26,65.00
28,1,0.203,0.998,0.442,-0.349,0.572,14,-1.526,63.38,90.17
29,1,0.950,1.326,1.289,1.655,0.901,17,2.310,55.52,90.86
30,1,-0.062,-0.482,-0.459,0.370,0.709,18,-0.321,41.58,76.04
31,1,1.074,1.189,0.733,0.671,0.834,16,-0.208,54.57,87.09
32,1,-0.267,-0.692,-1.707,-0.873,-0.444,13,-0.493,49.72,89.09
33,1,1.238,0.775,0.725,0.532,0.999,15,-0.131,62.21,73.17
